id,color,turn,p,i,d
1271,12,11,2.592,0.161652,9.1125
1272,13,2,2.592,0.178448,0
1273,11,2,2.592,0.195244,0
1274,11,12,2.916,0.21309,9.1125
1275,11,3,2.916,0.231986,0
1276,11,3,2.916,0.250881,0
1277,11,3,2.916,0.269777,0
1278,11,3,2.916,0.288673,0
1279,11,3,2.916,0.307568,0
1280,12,3,2.916,0.326464,0
1281,11,3,2.916,0.34536,0
1282,9,12,3.24,0.365305,9.1125
1283,9,13,3.564,0.38735,9.1125
1284,8,13,3.888,0.411495,9.1125
1285,8,4,3.888,0.436689,0
1286,7,13,4.212,0.462933,9.1125
1287,6,4,4.212,0.490227,0
1288,6,14,4.536,0.51857,9.1125
1289,6,5,4.536,0.547964,0
1290,6,5,4.536,0.577357,0
1291,4,14,4.86,0.6078,9.1125
1292,3,14,5.184,0.640342,9.1125
1293,3,15,5.508,0.674985,9.1125
1294,3,6,5.508,0.710676,0
1295,4,6,5.508,0.746368,0
1296,4,6,5.508,0.78206,0
1297,3,6,5.508,0.817752,0
1298,5,-3,5.184,0.852394,-9.1125
1299,5,6,5.184,0.885986,0
1300,5,-3,4.86,0.918529,-9.1125
1301,5,5,4.86,0.950022,0
1302,5,5,4.86,0.981514,0
1303,4,15,5.184,1.014057,9.1125
1304,4,6,5.184,1.047649,0
1305,4,6,5.184,1.081242,0
1306,4,6,5.184,1.114834,0
1307,4,6,5.184,1.148426,0
1308,4,6,5.184,1.182019,0
1309,5,6,5.184,1.215611,0
1310,5,6,5.184,1.249203,0
1311,5,-2,4.86,1.281746,-9.1125
1312,5,6,4.86,1.313238,0
1313,5,6,4.86,1.344731,0
1314,5,6,4.86,1.376224,0
1315,5,6,4.86,1.407717,0
1316,5,6,4.86,1.439209,0
1317,6,6,4.86,1.470702,0
1318,6,6,4.86,1.502195,0
1319,5,6,4.86,1.533688,0
1320,5,6,4.86,1.565181,0
1321,6,6,4.86,1.596673,0
1322,6,6,4.86,1.628166,0
1323,5,6,4.86,1.659659,0
1324,5,6,4.86,1.691152,0
1325,5,6,4.86,1.722644,0
1326,5,6,4.86,1.754137,0
1327,6,6,4.86,1.78563,0
1328,7,-2,4.536,1.816073,-9.1125
1329,7,6,4.536,1.845466,0
1330,7,-3,4.212,1.87381,-9.1125
1331,8,6,4.212,1.901103,0
1332,8,6,4.212,1.928397,0
1333,8,-3,3.888,1.954641,-9.1125
1334,8,5,3.888,1.979836,0
1335,8,5,3.888,2.00503,0
1336,8,5,3.888,2.030224,0
1337,8,5,3.888,2.055418,0
1338,8,5,3.888,2.080613,0
1339,8,5,3.888,2.105807,0
1340,8,6,3.888,2.131001,0
1341,8,6,3.888,2.156195,0
1342,9,6,3.888,2.181389,0
1343,8,6,3.888,2.206583,0
1344,8,6,3.888,2.231778,0
1345,9,6,3.888,2.256972,0
1346,9,6,3.888,2.282166,0
1347,9,-3,3.564,2.306311,-9.1125
1348,9,5,3.564,2.329405,0
1349,12,-3,3.24,2.35145,-9.1125
1350,12,-3,2.916,2.371396,-9.1125
1351,12,-4,2.592,2.389242,-9.1125
1352,12,4,2.592,2.406038,0
1353,12,5,2.592,2.422834,0
1354,14,5,2.592,2.43963,0
1355,15,-4,2.268,2.455377,-9.1125
1356,14,-4,1.944,2.469024,-9.1125
1357,15,4,1.944,2.481621,0
1358,15,4,1.944,2.494218,0
1359,16,-4,1.62,2.505765,-9.1125
1360,15,4,1.62,2.516263,0
1361,15,4,1.62,2.526761,0
1362,15,4,1.62,2.537258,0
1363,15,4,1.62,2.547756,0
1364,16,4,1.62,2.558253,0
1365,16,4,1.62,2.568751,0
1366,16,-5,1.296,2.578199,-9.1125
1367,18,3,1.296,2.586597,0
1368,18,-5,0.972,2.593945,-9.1125
1369,18,-5,0.648,2.599194,-9.1125
1370,18,3,0.648,2.603393,0
1371,18,3,0.648,2.607592,0
1372,18,3,0.648,2.611791,0
1373,20,3,0.648,2.61599,0
1374,23,-15,0,2.618089,-18.225
1375,23,-16,-0.648,2.61599,-18.225
1376,23,-7,-0.972,2.610741,-9.1125
1377,23,1,-0.972,2.604442,0
1378,26,-7,-1.296,2.597094,-9.1125
1379,26,-8,-1.62,2.587646,-9.1125
1380,26,-8,-1.944,2.576099,-9.1125
1381,26,0,-1.944,2.563502,0
1382,26,0,-1.944,2.550905,0
1383,26,0,-1.944,2.538307,0
1384,26,0,-1.944,2.52571,0
1385,26,0,-1.944,2.513113,0
1386,27,0,-1.944,2.500516,0
1387,27,0,-1.944,2.487918,0
1388,27,-8,-2.268,2.474272,-9.1125
1389,27,0,-2.268,2.459575,0
1390,27,0,-2.268,2.444878,0
1391,25,9,-1.944,2.431231,9.1125
1392,24,9,-1.62,2.419684,9.1125
1393,24,10,-1.296,2.410236,9.1125
1394,23,10,-0.972,2.402888,9.1125
1395,23,1,-0.972,2.39659,0
1396,23,1,-0.972,2.390291,0
1397,23,1,-0.972,2.383992,0
1398,23,1,-0.972,2.377694,0
1399,22,10,-0.648,2.372445,9.1125
1400,20,11,-0.324,2.369295,9.1125
1401,20,11,0,2.368246,9.1125
1402,20,2,0,2.368246,0
1403,20,2,0,2.368246,0
1404,19,11,0.324,2.369295,9.1125
1405,19,2,0.324,2.371395,0
1406,19,2,0.324,2.373495,0
1407,19,2,0.324,2.375594,0
1408,19,2,0.324,2.377694,0
1409,19,2,0.324,2.379793,0
1410,19,2,0.324,2.381893,0
1411,19,2,0.324,2.383993,0
1412,19,2,0.324,2.386092,0
1413,19,2,0.324,2.388192,0
1414,19,2,0.324,2.390291,0
1415,19,2,0.324,2.392391,0
1416,19,2,0.324,2.394491,0
1417,19,2,0.324,2.39659,0
1418,19,2,0.324,2.39869,0
1419,19,2,0.324,2.40079,0
1420,19,2,0.324,2.402889,0
1421,19,2,0.324,2.404989,0
1422,19,2,0.324,2.407089,0
1423,22,-6,0,2.408138,-9.1125
1424,22,-7,-0.324,2.407089,-9.1125
1425,22,-7,-0.648,2.403939,-9.1125
1426,23,1,-0.648,2.39974,0
1427,25,-7,-0.972,2.394491,-9.1125
1428,25,-8,-1.296,2.387143,-9.1125
1429,28,-17,-1.944,2.376645,-18.225
1430,28,-9,-2.268,2.362998,-9.1125
1431,28,-9,-2.592,2.347252,-9.1125
1432,29,0,-2.592,2.330456,0
1433,33,-19,-3.24,2.31156,-18.225
1434,33,-10,-3.564,2.289515,-9.1125
1435,33,-20,-4.212,2.264321,-18.225
1436,33,-1,-4.212,2.237027,0
1437,36,-11,-4.536,2.208684,-9.1125
1438,36,-11,-4.86,2.178241,-9.1125
1439,35,-2,-4.86,2.146748,0
1440,35,-2,-4.86,2.115255,0
1441,35,-2,-4.86,2.083763,0
1442,35,-2,-4.86,2.05227,0
1443,35,-2,-4.86,2.020777,0
1444,35,-2,-4.86,1.989284,0
1445,35,-2,-4.86,1.957791,0
1446,35,-2,-4.86,1.926299,0
1447,35,-2,-4.86,1.894806,0
1448,35,-2,-4.86,1.863313,0
1449,35,-3,-4.86,1.83182,0
1450,34,6,-4.536,1.801377,9.1125
1451,33,-2,-4.536,1.771984,0
